ID	Day_cat	Animal	Day
#q2:types	categorical	categorical	numeric
B_d0_B1	d0	B1	0
B_d0_B2	d0	B2	0
B_d0_B3	d0	B3	0
B_d0_B4	d0	B4	0
B_d0_B5	d0	B5	0
B_d0_B6	d0	B6	0
B_d0_B7	d0	B7	0
B_d0_B8	d0	B8	0
B_d0_B9	d0	B9	0
B_d0_B10	d0	B10	0
B_d1_B1	d1	B1	1
B_d1_B2	d1	B2	1
B_d1_B3	d1	B3	1
B_d1_B4	d1	B4	1
B_d1_B5	d1	B5	1
B_d1_B6	d1	B6	1
B_d1_B7	d1	B7	1
B_d1_B8	d1	B8	1
B_d1_B9	d1	B9	1
B_d1_B10	d1	B10	1
B_d2_B1	d2	B1	2
B_d2_B2	d2	B2	2
B_d2_B3	d2	B3	2
B_d2_B4	d2	B4	2
B_d2_B5	d2	B5	2
B_d2_B6	d2	B6	2
B_d2_B7	d2	B7	2
B_d2_B8	d2	B8	2
B_d2_B9	d2	B9	2
B_d2_B10	d2	B10	2
B_d3_B1	d3	B1	3
B_d3_B2	d3	B2	3
B_d3_B3	d3	B3	3
B_d3_B4	d3	B4	3
B_d3_B5	d3	B5	3
B_d3_B6	d3	B6	3
B_d3_B7	d3	B7	3
B_d3_B8	d3	B8	3
B_d3_B9	d3	B9	3
B_d3_B10	d3	B10	3
B_d7_B1	d7	B1	7
B_d7_B2	d7	B2	7
B_d7_B3	d7	B3	7
B_d7_B4	d7	B4	7
B_d7_B5	d7	B5	7
B_d7_B6	d7	B6	7
B_d7_B7	d7	B7	7
B_d7_B8	d7	B8	7
B_d7_B9	d7	B9	7
B_d7_B10	d7	B10	7
B_d14_B1	d14	B1	14
B_d14_B2	d14	B2	14
B_d14_B3	d14	B3	14
B_d14_B4	d14	B4	14
B_d14_B5	d14	B5	14
B_d14_B6	d14	B6	14
B_d14_B7	d14	B7	14
B_d14_B8	d14	B8	14
B_d14_B9	d14	B9	14
B_d14_B10	d14	B10	14
B_d21_B1	d21	B1	21
B_d21_B2	d21	B2	21
B_d21_B3	d21	B3	21
B_d21_B4	d21	B4	21
B_d21_B5	d21	B5	21
B_d21_B6	d21	B6	21
B_d21_B7	d21	B7	21
B_d21_B8	d21	B8	21
B_d21_B9	d21	B9	21
B_d21_B10	d21	B10	21
