ID 	Day_cat	Animal	Day
#q2:types	categorical	categorical	numeric
C_d0_C1	d0	C1	0
C_d0_C2	d0	C2	0
C_d0_C3	d0	C3	0
C_d0_C4	d0	C4	0
C_d0_C5	d0	C5	0
C_d0_C6	d0	C6	0
C_d0_C7	d0	C7	0
C_d0_C8	d0	C8	0
C_d0_C9	d0	C9	0
C_d0_C10	d0	C10	0
C_d1_C1	d1	C1	1
C_d1_C2	d1	C2	1
C_d1_C3	d1	C3	1
C_d1_C4	d1	C4	1
C_d1_C5	d1	C5	1
C_d1_C6	d1	C6	1
C_d1_C7	d1	C7	1
C_d1_C8	d1	C8	1
C_d1_C9	d1	C9	1
C_d1_C10	d1	C10	1
C_d2_C1	d2	C1	2
C_d2_C2	d2	C2	2
C_d2_C3	d2	C3	2
C_d2_C4	d2	C4	2
C_d2_C5	d2	C5	2
C_d2_C6	d2	C6	2
C_d2_C7	d2	C7	2
C_d2_C8	d2	C8	2
C_d2_C9	d2	C9	2
C_d2_C10	d2	C10	2
C_d3_C1	d3	C1	3
C_d3_C2	d3	C2	3
C_d3_C3	d3	C3	3
C_d3_C4	d3	C4	3
C_d3_C5	d3	C5	3
C_d3_C6	d3	C6	3
C_d3_C7	d3	C7	3
C_d3_C8	d3	C8	3
C_d3_C9	d3	C9	3
C_d3_C10	d3	C10	3
C_d7_C1	d7	C1	7
C_d7_C2	d7	C2	7
C_d7_C3	d7	C3	7
C_d7_C4	d7	C4	7
C_d7_C5	d7	C5	7
C_d7_C6	d7	C6	7
C_d7_C7	d7	C7	7
C_d7_C8	d7	C8	7
C_d7_C9	d7	C9	7
C_d7_C10	d7	C10	7
C_d14_C1	d14	C1	14
C_d14_C2	d14	C2	14
C_d14_C3	d14	C3	14
C_d14_C4	d14	C4	14
C_d14_C5	d14	C5	14
C_d14_C6	d14	C6	14
C_d14_C7	d14	C7	14
C_d14_C8	d14	C8	14
C_d14_C9	d14	C9	14
C_d14_C10	d14	C10	14
C_d21_C1	d21	C1	21
C_d21_C2	d21	C2	21
C_d21_C3	d21	C3	21
C_d21_C4	d21	C4	21
C_d21_C5	d21	C5	21
C_d21_C6	d21	C6	21
C_d21_C7	d21	C7	21
C_d21_C8	d21	C8	21
C_d21_C9	d21	C9	21
C_d21_C10	d21	C10	21
