	SampleID	Day_cat	Animal	Day	type	BC	UN	WU
1	B_d0_B1	d0	B1	0	broiler	0.188269485	-0.242840414	-0.272329256
2	B_d0_B10	d0	B10	0	broiler	0.370007058	-0.346279702	-0.213269989
3	B_d0_B2	d0	B2	0	broiler	0.165049643	-0.455088746	-0.308352496
4	B_d0_B3	d0	B3	0	broiler	0.220323523	-0.426061502	-0.28469493
5	B_d0_B4	d0	B4	0	broiler	0.145992005	-0.355956561	-0.329140848
6	B_d0_B5	d0	B5	0	broiler	0.226385663	-0.425793387	-0.279093269
7	B_d0_B6	d0	B6	0	broiler	0.375899559	-0.423597837	-0.176934104
8	B_d0_B7	d0	B7	0	broiler	0.207418982	-0.429761244	-0.285077119
9	B_d0_B8	d0	B8	0	broiler	0.366879082	-0.285434528	-0.142173433
10	B_d0_B9	d0	B9	0	broiler	0.203335611	-0.418522179	-0.313130144
11	B_d1_B1	d1	B1	1	broiler	0.246610455	0.070688452	0.062215318
12	B_d1_B10	d1	B10	1	broiler	0.373840962	-0.27496645	-0.156415849
13	B_d1_B2	d1	B2	1	broiler	0.367457157	-0.367823899	-0.144700356
14	B_d1_B3	d1	B3	1	broiler	0.358788368	-0.33648367	-0.100690501
15	B_d1_B4	d1	B4	1	broiler	0.320341419	-0.244130153	-0.085505907
16	B_d1_B5	d1	B5	1	broiler	0.335481167	-0.16399084	-0.037834044
17	B_d1_B7	d1	B7	1	broiler	0.374034811	-0.334964341	-0.156779882
18	B_d1_B8	d1	B8	1	broiler	0.268594002	0.031172269	0.080244857
19	B_d1_B9	d1	B9	1	broiler	0.350283147	-0.283640441	-0.088471763
20	B_d14_B1	d14	B1	14	broiler	-0.348060901	0.268627892	0.318632123
21	B_d14_B2	d14	B2	14	broiler	-0.409001768	0.225510272	-0.088227403
22	B_d14_B3	d14	B3	14	broiler	-0.3659769	0.328880242	-0.06142251
23	B_d14_B4	d14	B4	14	broiler	-0.469644754	0.180752024	0.049144494
24	B_d14_B5	d14	B5	14	broiler	-0.396558335	0.241807753	0.052900796
25	B_d14_B6	d14	B6	14	broiler	-0.354038402	0.180012447	0.009211234
26	B_d14_B7	d14	B7	14	broiler	-0.444250179	0.196074991	-0.07119244
27	B_d14_B8	d14	B8	14	broiler	-0.476895551	0.347343595	0.220170093
28	B_d14_B9	d14	B9	14	broiler	-0.421206263	0.236196379	0.110487355
29	B_d2_B1	d2	B1	2	broiler	0.066726195	0.169032168	0.19354784
30	B_d2_B10	d2	B10	2	broiler	0.289850467	-0.127392807	-0.077837864
31	B_d2_B2	d2	B2	2	broiler	0.294565298	-0.20765634	-0.090971366
