	ID	Day_cat	Animal	Day	type	observed_features	shannon_entropy	pielou_evenness	faith_pd	simpson	simpson_e
1	B_d0_B1	d0	B1	0	broiler	131	4.046483776	0.575322112	8.628335924	0.880666079	0.063968298
2	B_d0_B10	d0	B10	0	broiler	130	4.384751969	0.624397936	8.679732549	0.863709833	0.056440665
3	B_d0_B2	d0	B2	0	broiler	192	5.760278635	0.759434029	8.925049986	0.960848193	0.133029195
4	B_d0_B3	d0	B3	0	broiler	166	5.542713055	0.751550294	8.694801347	0.951227691	0.123514685
5	B_d0_B4	d0	B4	0	broiler	110	4.978243694	0.734107009	6.195581961	0.951150572	0.186100624
6	B_d0_B5	d0	B5	0	broiler	167	5.307919207	0.718869418	8.453319345	0.948633911	0.116575431
7	B_d0_B6	d0	B6	0	broiler	252	4.514970913	0.565978749	9.373344523	0.840910058	0.024943462
8	B_d0_B7	d0	B7	0	broiler	147	5.17178214	0.718335765	7.552722759	0.940972256	0.115246165
9	B_d0_B8	d0	B8	0	broiler	90	3.123401444	0.481126328	7.231563522	0.769285636	0.048159598
10	B_d0_B9	d0	B9	0	broiler	161	5.44144224	0.742259438	8.678180507	0.952140189	0.129778618
11	B_d1_B1	d1	B1	1	broiler	67	3.294566855	0.543112169	4.501869554	0.8012426	0.075093421
12	B_d1_B10	d1	B10	1	broiler	133	3.874250072	0.549127566	10.08016176	0.779940705	0.034167141
13	B_d1_B2	d1	B2	1	broiler	137	4.168666533	0.587298914	8.564571467	0.841711413	0.046113685
14	B_d1_B3	d1	B3	1	broiler	175	3.239920112	0.434817919	9.064730632	0.735407996	0.021596593
15	B_d1_B4	d1	B4	1	broiler	90	3.65757363	0.563409796	6.256948647	0.812481755	0.059253494
16	B_d1_B5	d1	B5	1	broiler	71	2.292212302	0.372732774	5.251450571	0.602028122	0.035390709
17	B_d1_B7	d1	B7	1	broiler	92	3.738314209	0.573048012	6.163668211	0.820341523	0.060501266
18	B_d1_B8	d1	B8	1	broiler	41	2.458312921	0.458850034	4.332811286	0.678907774	0.075960244
19	B_d1_B9	d1	B9	1	broiler	142	3.822765313	0.534671402	9.410491173	0.792794197	0.033986758
20	B_d14_B1	d14	B1	14	broiler	102	4.756469145	0.712854607	7.236309646	0.931776909	0.143703861
21	B_d14_B2	d14	B2	14	broiler	102	4.928750564	0.738674517	5.886912105	0.939507674	0.162068847
22	B_d14_B3	d14	B3	14	broiler	117	4.583030174	0.667072326	5.3370204	0.923459881	0.111667041
23	B_d14_B4	d14	B4	14	broiler	150	4.98828638	0.690055539	7.40856062	0.93465082	0.102016073
24	B_d14_B5	d14	B5	14	broiler	95	4.617634009	0.702851674	5.805934217	0.92182141	0.134644483
25	B_d14_B6	d14	B6	14	broiler	150	4.56304758	0.63123005	7.03737101	0.901885528	0.067947842
26	B_d14_B7	d14	B7	14	broiler	128	4.501292721	0.643041817	7.527164673	0.914367758	0.091233159
27	B_d14_B8	d14	B8	14	broiler	98	4.205217971	0.635737329	5.60362998	0.872831612	0.080240709
28	B_d14_B9	d14	B9	14	broiler	121	4.972186235	0.718642075	7.431842188	0.942331827	0.14331064
29	B_d2_B1	d2	B1	2	broiler	76	3.751553919	0.600447734	4.649130109	0.877781864	0.107659102
30	B_d2_B10	d2	B10	2	broiler	75	3.18829968	0.511862656	5.838925172	0.770728198	0.058155138
31	B_d2_B2	d2	B2	2	broiler	82	3.23513325	0.508864614	7.070807396	0.78946519	0.057924492
32	B_d2_B3	d2	B3	2	broiler	55	2.567901169	0.44416907	4.693842849	0.74518472	0.071352935
33	B_d2_B4	d2	B4	2	broiler	45	3.490190723	0.635521501	4.213293762	0.842383454	0.140989146
34	B_d2_B5	d2	B5	2	broiler	80	2.932786854	0.463907025	6.341603038	0.799149397	0.062235312
35	B_d2_B6	d2	B6	2	broiler	68	2.628124445	0.43172739	5.78501898	0.669575608	0.044506043
36	B_d2_B7	d2	B7	2	broiler	76	3.257289442	0.521339186	6.339793935	0.788995293	0.0623583
37	B_d2_B8	d2	B8	2	broiler	53	3.296955838	0.575593859	5.192300376	0.828769499	0.110190208
38	B_d2_B9	d2	B9	2	broiler	89	3.281055488	0.506669325	6.26233771	0.774241202	0.049769733
39	B_d21_B10	d21	B10	21	broiler	86	4.81646964	0.749497542	5.459191211	0.93572164	0.180899248
40	B_d21_B3	d21	B3	21	broiler	102	4.726843922	0.708414659	8.108811084	0.926005549	0.132495362
41	B_d21_B4	d21	B4	21	broiler	173	4.734311839	0.636792008	8.251381259	0.896237325	0.055707381
42	B_d21_B5	d21	B5	21	broiler	155	4.619893474	0.634938769	7.946546372	0.890461701	0.058898239
43	B_d21_B6	d21	B6	21	broiler	80	4.318059571	0.683028897	5.380088748	0.900516353	0.125648791
44	B_d21_B7	d21	B7	21	broiler	86	4.212281478	0.655478982	5.795764651	0.880869934	0.09760682
45	B_d21_B8	d21	B8	21	broiler	115	3.833420838	0.559992171	7.205589961	0.833121732	0.052107757
46	B_d21_B9	d21	B9	21	broiler	128	4.666631296	0.666661614	7.264176009	0.902610334	0.080218983
47	B_d3_B1	d3	B1	3	broiler	62	4.088085813	0.686589021	4.528214217	0.904958018	0.169704293
48	B_d3_B10	d3	B10	3	broiler	41	2.966770053	0.553754784	3.927438175	0.786817544	0.114410183
49	B_d3_B2	d3	B2	3	broiler	43	2.70107025	0.497777085	3.950066647	0.744783375	0.091121861
50	B_d3_B3	d3	B3	3	broiler	36	3.101520766	0.599916007	3.496007578	0.824566334	0.158337783
51	B_d3_B4	d3	B4	3	broiler	43	3.182583921	0.586514677	3.740594327	0.836338326	0.142096884
52	B_d3_B5	d3	B5	3	broiler	45	3.201025445	0.582868003	4.243082083	0.835561636	0.135140132
53	B_d3_B6	d3	B6	3	broiler	61	2.676456655	0.45128565	5.875353617	0.730400352	0.060806617
54	B_d3_B7	d3	B7	3	broiler	51	2.926854023	0.515979294	4.322110723	0.798830421	0.097469226
55	B_d3_B8	d3	B8	3	broiler	49	3.412574904	0.607791854	4.170349424	0.829260809	0.119528288
56	B_d3_B9	d3	B9	3	broiler	48	3.109769194	0.556811114	5.150989882	0.823295924	0.117899563
57	B_d7_B1	d7	B1	7	broiler	94	4.726471648	0.721093535	5.643107723	0.938716584	0.173591789
58	B_d7_B10	d7	B10	7	broiler	56	4.110087722	0.707738338	5.035719943	0.913048393	0.20536875
59	B_d7_B2	d7	B2	7	broiler	96	3.396889742	0.515855594	5.909144062	0.827879152	0.060519494
60	B_d7_B3	d7	B3	7	broiler	79	3.860705823	0.61244291	5.160787066	0.893990933	0.11940703
61	B_d7_B4	d7	B4	7	broiler	87	4.090377297	0.634861581	6.039918963	0.901724186	0.116959122
62	B_d7_B5	d7	B5	7	broiler	52	3.872819096	0.679389536	4.293651127	0.877669464	0.157203343
63	B_d7_B6	d7	B6	7	broiler	97	4.156570914	0.629791789	5.96232018	0.910482869	0.115165424
64	B_d7_B7	d7	B7	7	broiler	69	3.526110312	0.5772442	4.35042297	0.840032024	0.090597843
65	B_d7_B8	d7	B8	7	broiler	69	4.37363644	0.71598902	5.250261409	0.905666247	0.153632747
66	B_d7_B9	d7	B9	7	broiler	81	3.938234879	0.62118739	7.358254457	0.894549356	0.117075425
1	C_d0_C1	d0	C1	0	calf	694	6.525564962	0.691355956	30.52380983	0.966002664	0.042383385
2	C_d0_C10	d0	C10	0	calf	463	6.597404293	0.745059555	27.09934849	0.975897938	0.08961172
3	C_d0_C2	d0	C2	0	calf	675	6.876177128	0.731605984	30.66895547	0.978499102	0.068903236
4	C_d0_C3	d0	C3	0	calf	405	6.681977957	0.771432595	25.84648977	0.977724074	0.110843241
5	C_d0_C4	d0	C4	0	calf	403	5.92660205	0.684789289	27.4111687	0.953306894	0.053142525
6	C_d0_C5	d0	C5	0	calf	312	5.34707718	0.645361207	19.62970844	0.943215232	0.05644345
7	C_d0_C6	d0	C6	0	calf	244	5.18040686	0.653206208	19.78874771	0.917131724	0.049456328
8	C_d0_C7	d0	C7	0	calf	311	5.887707653	0.711009617	20.55025582	0.968914057	0.103436917
9	C_d0_C8	d0	C8	0	calf	338	6.50875478	0.774770645	23.39845735	0.977031229	0.128808804
10	C_d0_C9	d0	C9	0	calf	298	5.882038494	0.715648849	19.88474217	0.967651738	0.103736786
11	C_d1_C1	d1	C1	1	calf	648	6.423322832	0.687732975	29.1800033	0.964493029	0.043462167
12	C_d1_C10	d1	C10	1	calf	286	5.968435519	0.731437454	21.63831994	0.958617008	0.084491318
13	C_d1_C2	d1	C2	1	calf	376	6.205972697	0.725455402	23.86745989	0.965023416	0.076038714
14	C_d1_C3	d1	C3	1	calf	480	6.618077189	0.743028908	27.74997931	0.976912477	0.090236329
15	C_d1_C4	d1	C4	1	calf	459	6.939256846	0.784775153	27.84069364	0.981977573	0.120885451
