	OTU ID	Day	Day_cat	Proteobacteria	Firmicutes	Actinobacteria	Bacteroidetes	Spirochaetes	type
1	B_d0_B1	0	d0	6.31138303	93.24585413	0.281758171	0.088552568	0	broiler
2	B_d0_B10	0	d0	32.30558686	67.00209306	0.523265175	0.072452101	0	broiler
3	B_d0_B2	0	d0	3.187892449	95.9587828	0.83722428	0	0	broiler
4	B_d0_B3	0	d0	11.25422637	86.96667203	1.690549026	0	0	broiler
5	B_d0_B4	0	d0	5.860569957	94.01867654	0.104653035	0	0	broiler
6	B_d0_B5	0	d0	9.668330382	89.70375141	0.62791821	0	0	broiler
7	B_d0_B6	0	d0	36.8861697	62.39735952	0.708420544	0.008050233	0	broiler
8	B_d0_B7	0	d0	6.762196104	93.01239736	0.177105136	0.016100467	0	broiler
9	B_d0_B8	0	d0	43.53566253	56.02157463	0.386411206	0	0	broiler
10	B_d0_B9	0	d0	6.96345194	92.27177588	0.748671711	0.008050233	0	broiler
11	B_d1_B1	1	d1	58.67010143	34.04443729	1.110932217	6.174529061	0	broiler
12	B_d1_B10	1	d1	45.54017066	52.20576397	1.215585252	0.684269844	0.297858638	broiler
13	B_d1_B2	1	d1	39.11608437	60.22379649	0.46691354	0.193205603	0	broiler
14	B_d1_B3	1	d1	52.51972307	46.86040895	0.499114474	0.088552568	0	broiler
15	B_d1_B4	1	d1	51.98840766	46.97311222	0.330059572	0.708420544	0	broiler
16	B_d1_B5	1	d1	61.34277894	37.66704234	0.394461439	0.595717276	0	broiler
17	B_d1_B7	1	d1	39.96940911	59.08066334	0.869425213	0.080502335	0	broiler
18	B_d1_B8	1	d1	71.9449364	22.0415392	0	5.989373692	0	broiler
19	B_d1_B9	1	d1	55.86862019	42.38447915	0.65206891	1.078731283	0	broiler
20	B_d14_B1	14	d14	47.23876992	13.3553373	2.881983578	36.52390919	0	broiler
21	B_d14_B2	14	d14	14.31331509	74.69006601	10.8758654	0.120753502	0	broiler
22	B_d14_B3	14	d14	6.142328128	72.66140718	21.10771212	0.088552568	0	broiler
23	B_d14_B4	14	d14	35.19562067	40.58122686	20.83400419	3.389148285	0	broiler
24	B_d14_B5	14	d14	34.4791499	43.88182257	18.88584769	2.753179842	0	broiler
25	B_d14_B6	14	d14	12.84012236	57.26936081	28.40927387	1.481242956	0	broiler
26	B_d14_B7	14	d14	16.18901948	67.24360006	16.32587345	0.23345677	0.008050233	broiler
27	B_d14_B8	14	d14	19.15150539	31.68571889	14.20061182	34.9621639	0	broiler
28	B_d14_B9	14	d14	32.08823056	53.37304782	13.34728707	1.191434552	0	broiler
