ID	Day_cat	Animal	Day
#q2:types	categorical	categorical	numeric
P_d0_P1	d0	P1	0
P_d0_P2	d0	P2	0
P_d0_P3	d0	P3	0
P_d0_P4	d0	P4	0
P_d0_P5	d0	P5	0
P_d0_P6	d0	P6	0
P_d0_P7	d0	P7	0
P_d0_P8	d0	P8	0
P_d0_P9	d0	P9	0
P_d0_P10	d0	P10	0
P_d1_P1	d1	P1	1
P_d1_P2	d1	P2	1
P_d1_P3	d1	P3	1
P_d1_P4	d1	P4	1
P_d1_P5	d1	P5	1
P_d1_P6	d1	P6	1
P_d1_P7	d1	P7	1
P_d1_P8	d1	P8	1
P_d1_P9	d1	P9	1
P_d1_P10	d1	P10	1
P_d2_P1	d2	P1	2
P_d2_P2	d2	P2	2
P_d2_P3	d2	P3	2
P_d2_P4	d2	P4	2
P_d2_P5	d2	P5	2
P_d2_P6	d2	P6	2
P_d2_P7	d2	P7	2
P_d2_P8	d2	P8	2
P_d2_P9	d2	P9	2
P_d2_P10	d2	P10	2
P_d3_P1	d3	P1	3
P_d3_P2	d3	P2	3
P_d3_P3	d3	P3	3
P_d3_P4	d3	P4	3
P_d3_P5	d3	P5	3
P_d3_P6	d3	P6	3
P_d3_P7	d3	P7	3
P_d3_P8	d3	P8	3
P_d3_P9	d3	P9	3
P_d3_P10	d3	P10	3
P_d7_P1	d7	P1	7
P_d7_P2	d7	P2	7
P_d7_P3	d7	P3	7
P_d7_P4	d7	P4	7
P_d7_P5	d7	P5	7
P_d7_P6	d7	P6	7
P_d7_P7	d7	P7	7
P_d7_P8	d7	P8	7
P_d7_P9	d7	P9	7
P_d7_P10	d7	P10	7
P_d14_P1	d14	P1	14
P_d14_P2	d14	P2	14
P_d14_P3	d14	P3	14
P_d14_P4	d14	P4	14
P_d14_P5	d14	P5	14
P_d14_P6	d14	P6	14
P_d14_P7	d14	P7	14
P_d14_P8	d14	P8	14
P_d14_P9	d14	P9	14
P_d14_P10	d14	P10	14
P_d21_P1	d21	P1	21
P_d21_P2	d21	P2	21
P_d21_P3	d21	P3	21
P_d21_P4	d21	P4	21
P_d21_P5	d21	P5	21
P_d21_P6	d21	P6	21
P_d21_P7	d21	P7	21
P_d21_P8	d21	P8	21
P_d21_P9	d21	P9	21
P_d21_P10	d21	P10	21
